"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
0.01	0.999231458942946	0.00392475357887767	0.998135590374036	0.00946804575053783	0.00389490861489228	0.997440492684997	0.0130227131452794	0.993806708704232	0.994565225474463	0.0309372741067259	0.0038074435158072
0.02	0.998463508541249	0.00783410346710045	0.99627669544247	0.0187742151365391	0.00771630051088956	0.99488753644769	0.0258758352328945	0.987674115944222	0.989179860795726	0.0601727391500541	0.00738179909314074
0.03	0.997696148340965	0.0117281101203582	0.994423292876575	0.0279223601065469	0.0114665188939094	0.992341114520547	0.0385615747985414	0.981601409452678	0.983843278203891	0.0878347929057477	0.0107458678497662
0.04	0.9969293778885	0.0156068337570676	0.99257536046234	0.0369162159318772	0.0151478017576618	0.989801210178954	0.0510821116167891	0.975587790720065	0.978554860162272	0.114039674963317	0.0139193951214696
0.05	0.996163196730609	0.0194703343593022	0.990732876099757	0.0457594054830964	0.018762287949929	0.987267806741102	0.063439597075628	0.969632474713018	0.973313999154615	0.138892840790597	0.0169195830332844
0.06	0.995397604414396	0.0233186716737213	0.988895817802112	0.0544554433230029	0.0223120228136152	0.984740887567881	0.0756361545461394	0.963734689599508	0.968120097487057	0.162490156419693	0.0197615010795857
0.07	0.994632600487311	0.0271519052124928	0.987064163695282	0.0630077396251223	0.0257989634375304	0.982220436062769	0.0876738797473523	0.95789367648057	0.962972567094691	0.184918940187482	0.0224584179643604
0.08	0.993868184497152	0.0309700942542144	0.985237892017036	0.0714196039262226	0.0292249835485801	0.979706435671721	0.0995548411063482	0.952108689128417	0.957870829352616	0.206258873641678	0.0250220720250454
0.09	0.993104355992066	0.0347732978448296	0.983416981116342	0.0796942487208856	0.0325918780740984	0.977198869883064	0.111281080113676	0.946378993730769	0.95281431489136	0.226582800175224	0.0274628932958707
0.1	0.992341114520547	0.0385615747985414	0.981601409452678	0.0878347929057477	0.035901367400422	0.974697722227386	0.122854611674138	0.940703868641219	0.947802463416545	0.245957427027201	0.029790187155504
0.11	0.991578459631435	0.0423349836987214	0.979791155595348	0.0958442650805894	0.0391551013514421	0.972202976277429	0.13427742445301	0.935082604135481	0.942834723532693	0.26444394386882	0.0320122872089448
0.12	0.990816390873918	0.0460935828988157	0.977986198222808	0.103725606713089	0.0423546629087493	0.969714615647979	0.145551481217751	0.929514502173359	0.937910552571062	0.282098569183822	0.0341366833424785
0.13	0.99005490779753	0.049837430523248	0.976186516121985	0.111481675173676	0.0455015716930763	0.967232623995763	0.156678719175261	0.923998876166279	0.933029416421404	0.298973033978198	0.0361701296015821
0.14	0.98929400995215	0.0535665844683174	0.974392088187616	0.119115246646585	0.0485972872250208	0.964756985019336	0.167661050304751	0.918535050750244	0.92819078936754	0.315115010954144	0.0381187355616758
